name,value,year,lastValue,rank
Salah,205,2031,203,1
Sterling,198,2031,198,2
Mane,186,2031,173,3
Hazard,184,2031,182,4
Robertson,171,2031,169,5
van Dijk,165,2031,163,6
Aguero,165,2031,165,7
Aubameyang,164,2031,164,8
Kane,156,2031,156,9
Jimenez,153,2031,153,10
Salah,203,2030,198,1
Sterling,198,2030,177,2
Hazard,182,2030,172,3
Mane,173,2030,159,4
Robertson,169,2030,168,5
Aguero,165,2030,160,6
Aubameyang,164,2030,157,7
van Dijk,163,2030,162,8
Kane,156,2030,148,9
Jimenez,153,2030,145,10
Salah,198,2029,195,1
Sterling,177,2029,174,2
Hazard,172,2029,166,3
Robertson,168,2029,163,4
van Dijk,162,2029,154,5
Aguero,160,2029,158,6
Mane,159,2029,156,7
Aubameyang,157,2029,158,8
Pogba,150,2029,151,9
Kane,148,2029,141,10
Salah,195,2028,192,1
Sterling,174,2028,173,2
Hazard,166,2028,165,3
Robertson,163,2028,150,4
Aguero,158,2028,149,5
Aubameyang,158,2028,151,5
Mane,156,2028,143,7
van Dijk,154,2028,134,8
Pogba,151,2028,146,9
Kane,141,2028,140,10
Salah,192,2027,189,1
Sterling,173,2027,173,2
Hazard,165,2027,165,3
Aubameyang,151,2027,150,4
Robertson,150,2027,142,5
Aguero,149,2027,149,6
Pogba,146,2027,143,7
Mane,143,2027,140,8
Kane,140,2027,132,9
van Dijk,134,2027,127,10
Son,134,2027,132,10
Salah,189,2026,181,1
Sterling,173,2026,155,2
Hazard,165,2026,163,3
Aubameyang,150,2026,150,4
Aguero,149,2026,132,5
Pogba,143,2026,127,6
Robertson,142,2026,133,7
Mane,140,2026,132,8
Son,132,2026,126,9
Kane,132,2026,132,9
Sane,130,2026,130,10
Salah,181,2025,179,1
Hazard,163,2025,148,2
Sterling,155,2025,144,3
Aubameyang,150,2025,148,4
Robertson,133,2025,131,5
Aguero,132,2025,113,6
Mane,132,2025,124,7
Kane,132,2025,132,8
Sane,130,2025,129,9
Pogba,127,2025,120,9
Rashford,103,2025,96,10
Salah,179,2024,177,1
Aubameyang,148,2024,136,2
Hazard,148,2024,146,2
Sterling,144,2024,143,4
Kane,132,2024,132,5
Robertson,131,2024,129,6
Sane,129,2024,127,7
Mane,124,2024,115,8
Pogba,120,2024,113,9
Alonso,120,2024,120,9
Salah,177,2023,162,1
Hazard,146,2023,144,2
Sterling,143,2023,133,3
Aubameyang,136,2023,134,4
Kane,132,2023,132,5
Robertson,129,2023,124,6
Sane,127,2023,115,7
Alonso,120,2023,119,8
van Dijk,117,2023,113,9
Mane,115,2023,108,10
Salah,162,2022,151,1
Hazard,144,2022,139,2
